10.9,10.88,1.1,2.2,0.1,4.1,3.3,10.99,2.6,5.8,Anxiety
10.8,10.71,1.3,2.4,0.3,4.3,3.5,10.82,2.8,2.0,Anxiety
10.7,10.73,1.5,2.6,0.5,4.5,3.7,10.84,1.09,3.0,Anxiety
10.6,10.75,1.7,2.8,0.7,4.7,3.9,10.86,1.07,4.0,Anxiety
10.5,10.77,1.9,3.1,0.9,4.9,3.2,10.88,1.05,5.0,Anxiety
10.4,10.79,1.2,3.3,0.2,4.2,3.4,10.71,1.03,1.1,Anxiety
10.3,10.62,1.4,3.5,0.4,4.4,3.6,10.73,1.01,1.3,Anxiety
10.2,10.64,1.6,3.7,0.6,4.6,3.8,10.75,2.02,1.5,Anxiety
10.1,10.66,1.8,3.9,0.8,4.8,4.1,10.77,2.04,1.7,Anxiety
10.0,10.68,2.1,3.2,1.1,5.1,4.3,10.79,2.06,1.9,Anxiety
10.91,10.51,2.3,3.4,1.3,5.3,4.5,10.62,2.08,1.2,Anxiety
10.93,10.53,2.5,3.6,1.5,5.5,4.7,10.64,3.01,1.4,Anxiety
10.95,10.55,2.7,3.8,1.7,5.7,4.9,10.66,3.03,1.6,Anxiety
10.97,10.57,2.9,4.1,1.9,5.9,4.2,10.68,3.05,1.8,Anxiety
10.99,10.59,2.2,4.3,1.2,5.2,4.4,10.51,3.07,2.1,Anxiety
10.82,10.42,2.4,4.5,1.4,5.4,4.6,10.53,3.09,2.3,Anxiety
10.84,10.44,2.6,4.7,1.6,5.6,4.8,10.55,1.0,2.5,Anxiety
10.86,10.46,2.8,4.9,1.8,5.8,5.1,10.57,2,2.7,Anxiety
10.88,10.48,3.1,4.2,2.1,2,5.3,10.59,3,2.9,Anxiety
10.71,10.31,3.3,4.4,2.3,3,5.5,10.42,0.66,2.2,Anxiety
10.73,10.33,3.5,4.6,2.5,4,5.7,10.44,0.81,2.4,Anxiety
10.75,10.35,3.7,4.8,2.7,5,5.9,10.46,0.51,2.6,Anxiety
10.77,10.37,3.9,5.1,2.9,1.1,5.2,10.48,0.42,2.8,Anxiety
10.79,10.39,3.2,5.3,2.2,1.3,5.4,10.31,0.93,3.1,Anxiety
10.62,10.22,3.4,5.5,2.4,1.5,5.6,10.33,0.1,3.3,Anxiety
10.64,10.24,3.6,5.7,2.6,1.7,5.8,10.35,0.3,3.5,Anxiety
10.66,10.26,3.8,5.9,2.8,1.9,2,10.37,0.5,3.7,Anxiety
10.68,10.28,4.1,5.2,1.09,1.2,3,10.39,0.7,3.9,Anxiety
10.51,10.11,4.3,5.4,1.07,1.4,4,10.22,0.9,3.2,Anxiety
10.53,10.13,4.5,5.6,1.05,1.6,5,10.24,0.2,3.4,Anxiety
